X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
-2500, -2500, 1500, 0, image_-002500_-002500_+001500.png, 0, 0, 0
-2400, -2500, 1500, 0, image_-002400_-002500_+001500.png, 1, 0, 0
-2300, -2500, 1500, 0, image_-002300_-002500_+001500.png, 2, 0, 0
-2200, -2500, 1500, 0, image_-002200_-002500_+001500.png, 3, 0, 0
-2100, -2500, 1500, 0, image_-002100_-002500_+001500.png, 4, 0, 0
-2000, -2500, 1500, 0, image_-002000_-002500_+001500.png, 5, 0, 0
-1900, -2500, 1500, 0, image_-001900_-002500_+001500.png, 6, 0, 0
-1800, -2500, 1500, 0, image_-001800_-002500_+001500.png, 7, 0, 0
-1700, -2500, 1500, 0, image_-001700_-002500_+001500.png, 8, 0, 0
-1600, -2500, 1500, 0, image_-001600_-002500_+001500.png, 9, 0, 0
-1500, -2500, 1500, 0, image_-001500_-002500_+001500.png, 10, 0, 0
-1400, -2500, 1500, 0, image_-001400_-002500_+001500.png, 11, 0, 0
-1300, -2500, 1500, 0, image_-001300_-002500_+001500.png, 12, 0, 0
-1200, -2500, 1500, 0, image_-001200_-002500_+001500.png, 13, 0, 0
-1100, -2500, 1500, 0, image_-001100_-002500_+001500.png, 14, 0, 0
-1000, -2500, 1500, 0, image_-001000_-002500_+001500.png, 15, 0, 0
-900, -2500, 1500, 0, image_-000900_-002500_+001500.png, 16, 0, 0
-800, -2500, 1500, 0, image_-000800_-002500_+001500.png, 17, 0, 0
-700, -2500, 1500, 0, image_-000700_-002500_+001500.png, 18, 0, 0
-600, -2500, 1500, 0, image_-000600_-002500_+001500.png, 19, 0, 0
-500, -2500, 1500, 0, image_-000500_-002500_+001500.png, 20, 0, 0
-400, -2500, 1500, 0, image_-000400_-002500_+001500.png, 21, 0, 0
-300, -2500, 1500, 0, image_-000300_-002500_+001500.png, 22, 0, 0
-200, -2500, 1500, 0, image_-000200_-002500_+001500.png, 23, 0, 0
-100, -2500, 1500, 0, image_-000100_-002500_+001500.png, 24, 0, 0
0, -2500, 1500, 0, image_+000000_-002500_+001500.png, 25, 0, 0
100, -2500, 1500, 0, image_+000100_-002500_+001500.png, 26, 0, 0
200, -2500, 1500, 0, image_+000200_-002500_+001500.png, 27, 0, 0
300, -2500, 1500, 0, image_+000300_-002500_+001500.png, 28, 0, 0
400, -2500, 1500, 0, image_+000400_-002500_+001500.png, 29, 0, 0
500, -2500, 1500, 0, image_+000500_-002500_+001500.png, 30, 0, 0
600, -2500, 1500, 0, image_+000600_-002500_+001500.png, 31, 0, 0
700, -2500, 1500, 0, image_+000700_-002500_+001500.png, 32, 0, 0
800, -2500, 1500, 0, image_+000800_-002500_+001500.png, 33, 0, 0
900, -2500, 1500, 0, image_+000900_-002500_+001500.png, 34, 0, 0
1000, -2500, 1500, 0, image_+001000_-002500_+001500.png, 35, 0, 0
1100, -2500, 1500, 0, image_+001100_-002500_+001500.png, 36, 0, 0
1200, -2500, 1500, 0, image_+001200_-002500_+001500.png, 37, 0, 0
1300, -2500, 1500, 0, image_+001300_-002500_+001500.png, 38, 0, 0
1400, -2500, 1500, 0, image_+001400_-002500_+001500.png, 39, 0, 0
1500, -2500, 1500, 0, image_+001500_-002500_+001500.png, 40, 0, 0
1600, -2500, 1500, 0, image_+001600_-002500_+001500.png, 41, 0, 0
1700, -2500, 1500, 0, image_+001700_-002500_+001500.png, 42, 0, 0
1800, -2500, 1500, 0, image_+001800_-002500_+001500.png, 43, 0, 0
1900, -2500, 1500, 0, image_+001900_-002500_+001500.png, 44, 0, 0
2000, -2500, 1500, 0, image_+002000_-002500_+001500.png, 45, 0, 0
2100, -2500, 1500, 0, image_+002100_-002500_+001500.png, 46, 0, 0
2200, -2500, 1500, 0, image_+002200_-002500_+001500.png, 47, 0, 0
2300, -2500, 1500, 0, image_+002300_-002500_+001500.png, 48, 0, 0
2400, -2500, 1500, 0, image_+002400_-002500_+001500.png, 49, 0, 0
2500, -2500, 1500, 0, image_+002500_-002500_+001500.png, 50, 0, 0
-2500, -2400, 1500, 0, image_-002500_-002400_+001500.png, 0, 1, 0
-2400, -2400, 1500, 0, image_-002400_-002400_+001500.png, 1, 1, 0
-2300, -2400, 1500, 0, image_-002300_-002400_+001500.png, 2, 1, 0
-2200, -2400, 1500, 0, image_-002200_-002400_+001500.png, 3, 1, 0
-2100, -2400, 1500, 0, image_-002100_-002400_+001500.png, 4, 1, 0
-2000, -2400, 1500, 0, image_-002000_-002400_+001500.png, 5, 1, 0
-1900, -2400, 1500, 0, image_-001900_-002400_+001500.png, 6, 1, 0
-1800, -2400, 1500, 0, image_-001800_-002400_+001500.png, 7, 1, 0
-1700, -2400, 1500, 0, image_-001700_-002400_+001500.png, 8, 1, 0
-1600, -2400, 1500, 0, image_-001600_-002400_+001500.png, 9, 1, 0
-1500, -2400, 1500, 0, image_-001500_-002400_+001500.png, 10, 1, 0
-1400, -2400, 1500, 0, image_-001400_-002400_+001500.png, 11, 1, 0
-1300, -2400, 1500, 0, image_-001300_-002400_+001500.png, 12, 1, 0
-1200, -2400, 1500, 0, image_-001200_-002400_+001500.png, 13, 1, 0
-1100, -2400, 1500, 0, image_-001100_-002400_+001500.png, 14, 1, 0
-1000, -2400, 1500, 0, image_-001000_-002400_+001500.png, 15, 1, 0
-900, -2400, 1500, 0, image_-000900_-002400_+001500.png, 16, 1, 0
-800, -2400, 1500, 0, image_-000800_-002400_+001500.png, 17, 1, 0
-700, -2400, 1500, 0, image_-000700_-002400_+001500.png, 18, 1, 0
-600, -2400, 1500, 0, image_-000600_-002400_+001500.png, 19, 1, 0
-500, -2400, 1500, 0, image_-000500_-002400_+001500.png, 20, 1, 0
-400, -2400, 1500, 0, image_-000400_-002400_+001500.png, 21, 1, 0
-300, -2400, 1500, 0, image_-000300_-002400_+001500.png, 22, 1, 0
-200, -2400, 1500, 0, image_-000200_-002400_+001500.png, 23, 1, 0
-100, -2400, 1500, 0, image_-000100_-002400_+001500.png, 24, 1, 0
0, -2400, 1500, 0, image_+000000_-002400_+001500.png, 25, 1, 0
100, -2400, 1500, 0, image_+000100_-002400_+001500.png, 26, 1, 0
200, -2400, 1500, 0, image_+000200_-002400_+001500.png, 27, 1, 0
300, -2400, 1500, 0, image_+000300_-002400_+001500.png, 28, 1, 0
400, -2400, 1500, 0, image_+000400_-002400_+001500.png, 29, 1, 0
500, -2400, 1500, 0, image_+000500_-002400_+001500.png, 30, 1, 0
600, -2400, 1500, 0, image_+000600_-002400_+001500.png, 31, 1, 0
700, -2400, 1500, 0, image_+000700_-002400_+001500.png, 32, 1, 0
800, -2400, 1500, 0, image_+000800_-002400_+001500.png, 33, 1, 0
900, -2400, 1500, 0, image_+000900_-002400_+001500.png, 34, 1, 0
1000, -2400, 1500, 0, image_+001000_-002400_+001500.png, 35, 1, 0
1100, -2400, 1500, 0, image_+001100_-002400_+001500.png, 36, 1, 0
1200, -2400, 1500, 0, image_+001200_-002400_+001500.png, 37, 1, 0
1300, -2400, 1500, 0, image_+001300_-002400_+001500.png, 38, 1, 0
1400, -2400, 1500, 0, image_+001400_-002400_+001500.png, 39, 1, 0
1500, -2400, 1500, 0, image_+001500_-002400_+001500.png, 40, 1, 0
1600, -2400, 1500, 0, image_+001600_-002400_+001500.png, 41, 1, 0
1700, -2400, 1500, 0, image_+001700_-002400_+001500.png, 42, 1, 0
1800, -2400, 1500, 0, image_+001800_-002400_+001500.png, 43, 1, 0
1900, -2400, 1500, 0, image_+001900_-002400_+001500.png, 44, 1, 0
2000, -2400, 1500, 0, image_+002000_-002400_+001500.png, 45, 1, 0
2100, -2400, 1500, 0, image_+002100_-002400_+001500.png, 46, 1, 0
2200, -2400, 1500, 0, image_+002200_-002400_+001500.png, 47, 1, 0
2300, -2400, 1500, 0, image_+002300_-002400_+001500.png, 48, 1, 0
2400, -2400, 1500, 0, image_+002400_-002400_+001500.png, 49, 1, 0
2500, -2400, 1500, 0, image_+002500_-002400_+001500.png, 50, 1, 0
-2500, -2300, 1500, 0, image_-002500_-002300_+001500.png, 0, 2, 0
-2400, -2300, 1500, 0, image_-002400_-002300_+001500.png, 1, 2, 0
-2300, -2300, 1500, 0, image_-002300_-002300_+001500.png, 2, 2, 0
-2200, -2300, 1500, 0, image_-002200_-002300_+001500.png, 3, 2, 0
-2100, -2300, 1500, 0, image_-002100_-002300_+001500.png, 4, 2, 0
-2000, -2300, 1500, 0, image_-002000_-002300_+001500.png, 5, 2, 0
-1900, -2300, 1500, 0, image_-001900_-002300_+001500.png, 6, 2, 0
-1800, -2300, 1500, 0, image_-001800_-002300_+001500.png, 7, 2, 0
-1700, -2300, 1500, 0, image_-001700_-002300_+001500.png, 8, 2, 0
-1600, -2300, 1500, 0, image_-001600_-002300_+001500.png, 9, 2, 0
-1500, -2300, 1500, 0, image_-001500_-002300_+001500.png, 10, 2, 0
-1400, -2300, 1500, 0, image_-001400_-002300_+001500.png, 11, 2, 0
-1300, -2300, 1500, 0, image_-001300_-002300_+001500.png, 12, 2, 0
-1200, -2300, 1500, 0, image_-001200_-002300_+001500.png, 13, 2, 0
-1100, -2300, 1500, 0, image_-001100_-002300_+001500.png, 14, 2, 0
-1000, -2300, 1500, 0, image_-001000_-002300_+001500.png, 15, 2, 0
-900, -2300, 1500, 0, image_-000900_-002300_+001500.png, 16, 2, 0
-800, -2300, 1500, 0, image_-000800_-002300_+001500.png, 17, 2, 0
-700, -2300, 1500, 0, image_-000700_-002300_+001500.png, 18, 2, 0
-600, -2300, 1500, 0, image_-000600_-002300_+001500.png, 19, 2, 0
-500, -2300, 1500, 0, image_-000500_-002300_+001500.png, 20, 2, 0
-400, -2300, 1500, 0, image_-000400_-002300_+001500.png, 21, 2, 0
