X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
-10000, -10000, 1800, 0, image_-010000_-010000_+001800.png, 0, 0, 0
-9900, -10000, 1800, 0, image_-009900_-010000_+001800.png, 1, 0, 0
-9800, -10000, 1800, 0, image_-009800_-010000_+001800.png, 2, 0, 0
-9700, -10000, 1800, 0, image_-009700_-010000_+001800.png, 3, 0, 0
-9600, -10000, 1800, 0, image_-009600_-010000_+001800.png, 4, 0, 0
-9500, -10000, 1800, 0, image_-009500_-010000_+001800.png, 5, 0, 0
-9400, -10000, 1800, 0, image_-009400_-010000_+001800.png, 6, 0, 0
-9300, -10000, 1800, 0, image_-009300_-010000_+001800.png, 7, 0, 0
-9200, -10000, 1800, 0, image_-009200_-010000_+001800.png, 8, 0, 0
-9100, -10000, 1800, 0, image_-009100_-010000_+001800.png, 9, 0, 0
-9000, -10000, 1800, 0, image_-009000_-010000_+001800.png, 10, 0, 0
-8900, -10000, 1800, 0, image_-008900_-010000_+001800.png, 11, 0, 0
-8800, -10000, 1800, 0, image_-008800_-010000_+001800.png, 12, 0, 0
-8700, -10000, 1800, 0, image_-008700_-010000_+001800.png, 13, 0, 0
-8600, -10000, 1800, 0, image_-008600_-010000_+001800.png, 14, 0, 0
-8500, -10000, 1800, 0, image_-008500_-010000_+001800.png, 15, 0, 0
-8400, -10000, 1800, 0, image_-008400_-010000_+001800.png, 16, 0, 0
-8300, -10000, 1800, 0, image_-008300_-010000_+001800.png, 17, 0, 0
-8200, -10000, 1800, 0, image_-008200_-010000_+001800.png, 18, 0, 0
-8100, -10000, 1800, 0, image_-008100_-010000_+001800.png, 19, 0, 0
-8000, -10000, 1800, 0, image_-008000_-010000_+001800.png, 20, 0, 0
-7900, -10000, 1800, 0, image_-007900_-010000_+001800.png, 21, 0, 0
-7800, -10000, 1800, 0, image_-007800_-010000_+001800.png, 22, 0, 0
-7700, -10000, 1800, 0, image_-007700_-010000_+001800.png, 23, 0, 0
-7600, -10000, 1800, 0, image_-007600_-010000_+001800.png, 24, 0, 0
-7500, -10000, 1800, 0, image_-007500_-010000_+001800.png, 25, 0, 0
-7400, -10000, 1800, 0, image_-007400_-010000_+001800.png, 26, 0, 0
-7300, -10000, 1800, 0, image_-007300_-010000_+001800.png, 27, 0, 0
